occurrenceID,Bottle_Box_No,Data_Recorder,associatedID,sex,lifeStage,LocalityLabel,country,stateProvince,locality,(DMS) Latitude & Longitude,elevation,decimalLatitude,decimalLongtitude,georeferenceVerificationStatus,family,genus,specificEpithet,identificationQualifier,typeStatus,eventDate,day,month,year,recordedBy,Remark
ARA-2017-163,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-23,23,6,2017,"Warrit N., et al.",
ARA-2017-164,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-25,25,6,2017,"Warrit N., et al.",
ARA-2017-165,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-25,25,6,2017,"Warrit N., et al.",
ARA-2017-166,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-25,25,6,2017,"Warrit N., et al.",
ARA-2017-167,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-25,25,6,2017,"Warrit N., et al.",
ARA-2017-168,1,NT,XUX-2017-524,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-25,25,6,2017,"Warrit N., et al.",
ARA-2017-169,1,NT,XUX-2017-526,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-06-25,25,6,2017,"Warrit N., et al.",
ARA-2017-171,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",26.5,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-10-07,7,10,2017,Triyasut P. Kunsete C.,
ARA-2017-172,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",265,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-10-07,7,10,2017,"Traiyasut P., Kunsete C.",
ARA-2017-173,1,NT,,female,adult,"Tad Tone NP., Mueang Chaiyaphum D., Chaiyaphum",Thailand,Chaiyaphum,Tad Tone National Park,"15°58.684'N, 102°01.850'E",265,15.97663,102.027,Verified by NT,Liphistiidae,Liphistius,,,,2017-10-07,7,10,2017,"Traiyasut P., Kunsete C.",
